Channel.002
Axis [s],ROI.01 [],ROI.02 []
0,27.5593622795115,24.1987179487179
0.178,26.7995251017639,23.8861236802413
0.355,26.2859565807327,23.5067873303167
0.533,25.6685888738128,23.0754147812971
0.71,25.2201492537313,22.61802413273
0.888,24.6648575305292,21.9345776772247
1.065,24.1723202170963,21.5912518853695
1.243,23.5518995929444,21.2846907993967
1.42,23.123473541384,21.170814479638
1.598,22.7045454545455,20.8761312217195
1.775,22.503052917232,20.4653092006033
1.96,21.9501356852103,20.1016214177979
2.138,21.4715061058345,19.7207767722474
2.315,21.3443012211669,19.4475867269985
2.493,20.9474219810041,19.3199472096531
2.67,20.7574626865672,18.9905731523379
2.848,20.2377883310719,18.5561840120664
3.025,19.9148575305292,18.3248491704374
3.203,19.4392808683853,18.0275263951735
3.38,19.2628900949796,17.8103318250377
3.558,19.1441655359566,17.5818250377074
3.735,18.6353459972863,17.1161387631976
3.92,18.7265943012212,16.9843514328808
4.098,18.2513568521031,17.163838612368
4.275,18.0451153324288,16.5448717948718
4.453,17.7208276797829,16.6945701357466
4.63,17.393487109905,16.4515460030166
4.808,17.168249660787,16.0925716440422
4.985,17.0607191316147,16.0871040723982
5.163,16.9467435549525,15.8930995475113
5.395,17.3877204884668,16.8699095022624
5.573,17.3588873812754,16.7466063348416
5.75,17.5257801899593,16.7317119155354
5.935,17.1797829036635,16.5795625942685
6.113,16.9135006784261,16.7196455505279
6.29,17.3554952510176,16.415346907994
6.468,16.9372455902307,16.375754147813
6.645,16.9837177747626,16.4087481146305
6.823,16.7086160108548,16.2877073906486
7,17.0451153324288,16.2814856711916
7.178,16.4423337856174,16.1538461538462
7.355,16.6970827679783,15.9849170437406
7.533,16.4732021709634,16.0575037707391
7.71,16.362618724559,16.3039215686275
7.895,16.4637042062415,15.9739819004525
8.113,15.4596336499322,14.9194947209653
8.29,15.3035956580733,14.6438536953243
8.468,15.2187924016282,14.402149321267
8.645,15.1007462686567,14.3800904977376
8.823,14.7137042062415,14.1604449472097
9,14.3853459972863,14.1050150829563
9.178,14.2425373134328,13.847850678733
9.355,14.2099728629579,13.8322021116139
9.533,14.1560379918589,13.7594268476621
9.71,14.0040705563094,13.4888763197587
9.895,13.777815468114,13.3885746606335
10.073,13.5471506105834,13.0835218702866
10.25,13.5607191316147,12.8795248868778
10.428,13.1292401628223,12.8574660633484
10.605,13.1818181818182,12.8550150829563
10.783,13.2900271370421,12.744532428356
10.96,12.9155359565807,12.5635369532428
11.138,12.9596336499322,12.374245852187
11.315,12.4440298507463,12.3823529411765
11.493,12.4928765264586,12.3335218702866
11.67,12.1763907734057,12.3199472096531
11.855,12.0362957937585,12.0950226244344
12.033,11.9474219810041,11.8925339366516
12.21,12.0366350067843,11.9947209653092
12.388,11.8568521031208,11.6928733031674
12.565,11.7279511533243,11.5737179487179
12.743,11.4840569877883,11.5524132730015
12.92,11.3341248303935,11.4400452488688
13.098,11.2557666214383,11.3593514328808
13.275,11.0430800542741,11.2995852187029
13.453,10.8229308005427,11.2039969834087
13.63,10.8215739484396,10.9447586726999
13.808,11.0383310719132,10.6934389140272
13.993,10.9647218453189,10.8593514328808
14.17,10.9738805970149,10.7509426847662
14.348,10.7791723202171,10.7070135746606
14.525,10.7910447761194,10.7641402714932
14.703,10.578697421981,10.6644042232278
14.88,10.4135006784261,10.6606334841629
15.058,10.4589552238806,10.5237556561086
15.235,10.2333785617368,10.4796380090498
15.413,10.2920624151967,10.361802413273
15.59,10.2008141112619,10.2618778280543
15.768,10.1926729986431,10.1197209653092
15.953,10.0583446404342,9.94570135746606
16.13,10.1546811397558,10.0575037707391
16.308,9.97048846675712,9.8525641025641
16.485,10.0525780189959,9.66647812971342
16.663,9.76153324287653,9.88216440422323
16.84,9.45420624151967,9.69249622926094
17.343,9.5685210312076,9.78205128205128
17.843,9.74253731343284,9.7829939668175
18.343,9.86635006784261,9.901395173454
18.843,9.70217096336499,9.95757918552036
19.343,9.91078697421981,9.9907616892911
19.843,9.71506105834464,9.84049773755656
20.343,9.98575305291723,9.84822775263952
20.843,10.0464721845319,9.89988687782805
21.343,9.88398914518318,9.97982654600302
21.843,9.6746947082768,10.0897435897436
22.343,10.1699457259159,10.0708898944193
22.843,10.072591587517,10.1966440422323
23.343,9.99525101763908,10.1423453996983
23.843,9.97320217096336,10.1732654600302
24.343,9.91621438263229,10.0610859728507
24.843,10.0033921302578,10.2024886877828
25.343,10.0186567164179,10.315987933635
25.843,9.96845318860244,10.0735294117647
26.343,9.97218453188602,9.96738310708899
26.843,9.8887381275441,10.0703242835596
27.343,9.95251017639077,10.1189668174962
27.843,9.87483039348711,10.1904223227753
28.343,9.77713704206242,10.1353695324284
28.843,9.81139755766621,10.2417043740573
29.343,9.63025780189959,10.0740950226244
29.843,10.0162822252374,10.0297888386124
30.343,10.0033921302578,9.88932880844646
30.843,9.90502035278155,9.97982654600302
31.343,9.84056987788331,9.91949472096531
31.843,9.7927408412483,9.9617269984917
32.343,9.93962008141113,9.9841628959276
32.843,9.76322930800543,9.79430618401207
33.343,9.80257801899593,9.98133484162896
33.843,9.61363636363636,9.94607843137255
34.343,9.71099050203528,9.97850678733032
34.843,9.84735413839891,9.92213423831071
35.343,9.71302578018996,9.82447209653092
35.843,9.90637720488467,9.90460030165912
36.343,9.54715061058345,9.86670437405732
36.843,9.57734056987788,9.7843137254902
37.343,9.67333785617368,9.81957013574661
37.843,9.61770691994573,9.63442684766214
38.343,9.5050881953867,9.63442684766214
38.843,9.47116689280868,9.76809954751131
39.343,9.46845318860244,9.7407616892911
39.843,9.34497964721845,9.67854449472097
40.343,9.48100407055631,9.36557315233786
40.843,9.58717774762551,9.57579185520362
41.343,9.3527815468114,9.57088989441931
41.843,9.50407055630936,9.50433634992459
42.343,9.42605156037992,9.56240573152338
42.843,9.62483039348711,9.37858220211161
43.343,9.40569877883311,9.51395173453997
43.843,9.5668249660787,9.57975113122172
44.343,9.55936227951153,9.51941930618401
44.843,9.50780189959294,9.63178733031674
